,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,castro,8,KZ,1553377744,98,44.51,50.26,278.121,5.27
1,castro,20,AU,1553377517,72,-42.88,147.33,292.04,3.6
2,castro,80,RU,1553377744,85,59.36,143.24,267.271,3.22
3,castro,32,CG,1553377744,92,1.61,16.05,298.171,1.37
4,castro,64,PF,1553377745,97,-23.12,-134.97,299.621,8.62
5,castro,68,AU,1553377411,56,-33.64,115.35,284.82,5.67
6,castro,88,RU,1553377746,93,73.51,80.55,265.521,9.52
7,castro,1,CA,1553374800,61,53.59,-116.44,282.15,4.6
8,castro,75,CL,1553377393,76,-53.16,-70.91,285.15,4.6
9,castro,76,ZA,1553376690,91,-34.42,19.24,292.59,1.52
10,castro,8,PF,1553377502,100,-16.48,-151.75,302.021,4.22
11,castro,90,US,1553377409,69,39.95,-94.76,287.04,5.1
12,castro,0,CV,1553377688,97,14.9,-24.5,294.621,6.47
13,castro,32,ID,1553377747,94,-7.94,110.25,294.971,1.32
14,castro,0,CN,1553377748,67,43.61,122.27,272.171,6.62
15,castro,0,IN,1553377748,48,24.31,79.97,287.621,1.82
16,castro,75,AR,1553374800,66,-54.81,-68.31,286.15,2.6
17,castro,68,AU,1553377646,78,-34.67,150.86,295.93,3.1
18,castro,75,CA,1553374800,60,58.81,-122.69,278.15,0.87
19,castro,8,AU,1553374800,94,-15.77,128.74,298.15,0.5
20,castro,75,MU,1553377439,78,-20.41,57.7,301.15,5.7
21,castro,75,US,1553377701,69,22.08,-159.32,300.15,9.3
22,castro,92,ZA,1553377750,32,-30.65,24.01,295.821,2.07
23,castro,0,UA,1553377750,84,50.74,33.49,271.771,2.12
24,castro,0,GL,1553374200,56,65.61,-37.64,262.15,5.7
25,castro,44,UZ,1553377750,100,38.2,67.2,269.521,0.67
26,castro,20,PH,1553377535,91,8.0,124.29,294.82,2.24
27,castro,1,US,1553377551,40,42.65,-73.75,277.59,8.7
28,castro,92,ZA,1553377537,22,-30.97,22.13,294.121,1.17
29,castro,20,GY,1553374800,70,6.8,-58.16,302.15,5.1
30,castro,12,MY,1553377751,95,2.02,112.94,295.821,0.87
31,castro,44,RU,1553377752,49,70.62,147.9,245.871,1.32
32,castro,88,BR,1553377720,100,-17.73,-39.27,300.121,8.82
33,castro,20,CA,1553377633,46,62.45,-114.38,261.15,5.1
34,castro,48,PE,1553377710,69,-13.74,-72.9,286.221,1.07
35,castro,0,RU,1553377733,80,69.7,170.27,245.071,1.17
36,castro,80,PF,1553377753,100,-9.8,-139.03,301.121,7.47
37,castro,20,EC,1553377624,74,-0.74,-90.35,302.15,5.1
38,castro,20,US,1553377753,71,37.46,-122.43,290.93,7.2
39,castro,0,ZA,1553377753,91,-33.02,27.91,297.871,11.52
40,castro,80,RU,1553377732,99,50.68,156.12,272.021,7.37
41,castro,8,ZM,1553377753,62,-16.28,27.48,295.771,3.02
42,castro,20,IN,1553374800,53,13.29,77.54,297.15,1.5
43,castro,20,AU,1553377505,100,-31.43,152.91,297.59,2.52
44,castro,92,RU,1553377754,100,64.42,-173.23,264.671,8.07
45,castro,36,ML,1553377754,15,22.68,-3.98,297.771,4.57
46,castro,0,BI,1553377755,100,-3.97,29.44,294.921,0.72
47,castro,68,ID,1553377531,100,-0.86,131.25,299.621,2.77
48,castro,20,IR,1553377816,83,35.87,47.6,270.371,1.22
49,castro,24,GL,1553377714,100,72.79,-56.15,251.671,3.22
50,castro,20,MX,1553373660,70,15.86,-97.07,302.15,3.1
51,castro,75,BR,1553374800,73,-19.62,-43.23,295.15,4.1
52,castro,75,BN,1553374800,88,5.28,115.24,300.15,1.0
53,castro,88,PG,1553377819,100,-2.02,147.27,300.971,5.47
54,castro,48,RU,1553377820,90,67.55,63.78,265.871,6.12
55,castro,20,BR,1553377820,85,-14.74,-50.57,300.721,1.32
56,castro,0,MR,1553376600,82,18.08,-15.98,292.15,6.2
57,castro,20,CA,1553374800,44,55.74,-97.86,265.15,8.2
58,castro,80,AU,1553377799,60,-20.74,116.85,301.271,16.52
59,castro,76,NZ,1553377807,87,-46.19,168.86,290.37,0.89
60,castro,40,PT,1553377794,81,37.72,-25.43,285.93,8.2
61,castro,80,UZ,1553377822,91,40.13,63.45,282.271,2.52
62,castro,1,CA,1553377804,54,45.36,-73.48,274.82,5.62
63,castro,0,RU,1553377787,57,46.45,135.83,253.771,1.07
64,castro,20,CA,1553374800,44,51.26,-80.61,278.15,8.7
65,castro,1,US,1553377711,23,39.62,-77.74,284.26,7.2
66,castro,0,ZA,1553377584,88,-33.93,18.42,294.26,4.1
67,castro,92,AU,1553377824,86,-33.21,138.6,291.071,4.67
68,castro,44,PE,1553377825,69,-11.1,-77.61,297.371,1.97
69,castro,20,US,1553377615,71,37.78,-122.42,290.93,7.2
70,castro,0,FR,1553377560,50,44.83,-0.61,288.15,2.6
71,castro,75,MU,1553377740,78,-20.21,57.76,301.15,5.7
